date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:35:30	384/384	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2005%20Dec%202019%2009:35:29%20GMT	https://proraftingtours.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fproraftingtours.com%2F&format=xml	./data/current/proraftingtours.com/wp-json/oembed/1.0/embed7bea	(from https://proraftingtours.com/)
02:35:31	384/384	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2005%20Dec%202019%2009:35:30%20GMT	https://proraftingtours.com/wp-content/uploads/2018/11/cropped-prtwebsite2-1-32x32.jpg	./data/current/proraftingtours.com/wp-content/uploads/2018/11/cropped-prtwebsite2-1-32x32.jpg	(from https://proraftingtours.com/)
02:35:32	384/384	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2005%20Dec%202019%2009:35:31%20GMT	https://proraftingtours.com/wp-content/uploads/2018/11/cropped-prtwebsite2-1-192x192.jpg	./data/current/proraftingtours.com/wp-content/uploads/2018/11/cropped-prtwebsite2-1-192x192.jpg	(from https://proraftingtours.com/)
02:35:33	384/384	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2005%20Dec%202019%2009:35:32%20GMT	https://proraftingtours.com/wp-content/uploads/2018/11/cropped-prtwebsite2-1-180x180.jpg	./data/current/proraftingtours.com/wp-content/uploads/2018/11/cropped-prtwebsite2-1-180x180.jpg	(from https://proraftingtours.com/)
02:35:34	384/384	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2005%20Dec%202019%2009:35:33%20GMT	https://proraftingtours.com/wp-content/themes/prorafttours/js/jquery.js-cookie.js	./data/current/proraftingtours.com/wp-content/themes/prorafttours/js/jquery.js-cookie.js	(from https://proraftingtours.com/)
02:35:35	384/384	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2005%20Dec%202019%2009:35:34%20GMT	https://proraftingtours.com/wp-content/themes/prorafttours/css/header-custom.css	./data/current/proraftingtours.com/wp-content/themes/prorafttours/css/header-custom.css	(from https://proraftingtours.com/)
02:35:36	384/384	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2005%20Dec%202019%2009:35:35%20GMT	https://proraftingtours.com/wp-content/uploads/2018/11/prtwebsite2.jpg	./data/current/proraftingtours.com/wp-content/uploads/2018/11/prtwebsite2.jpg	(from https://proraftingtours.com/)
02:35:37	384/384	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2005%20Dec%202019%2009:35:36%20GMT	https://proraftingtours.com/wp-content/themes/prorafttours/navigation.js	./data/current/proraftingtours.com/wp-content/themes/prorafttours/navigation.js	(from https://proraftingtours.com/)
02:35:38	2381/2381	---M-Z	200	added ('OK')	text/css	etag:%2294d-586ef7d56dede-gzip%22	https://proraftingtours.com/wp-content/themes/prorafttours/navigation.css	./data/current/proraftingtours.com/wp-content/themes/prorafttours/navigation.css	(from https://proraftingtours.com/)
02:35:39	384/384	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2005%20Dec%202019%2009:35:38%20GMT	https://proraftingtours.com/wp-content/uploads/2018/11/prtwebsitewords.jpg	./data/current/proraftingtours.com/wp-content/uploads/2018/11/prtwebsitewords.jpg	(from https://proraftingtours.com/)
02:35:42	77154/77154	---M--	200	added ('OK')	image/png	etag:%2212d62-586efad52bebe%22	https://proraftingtours.com/wp-content/uploads/2018/12/g4242.png	./data/current/proraftingtours.com/wp-content/uploads/2018/12/g4242.png	(from https://proraftingtours.com/)
